Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 0, 85.202492211838%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 1, 84.3941717791411%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 2, 85.48632218844985%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 3, 83.49697885196375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 4, 84.16172106824926%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 5, 83.70206489675516%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 0, 85.202492211838%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 1, 84.3941717791411%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 2, 85.48632218844985%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 3, 83.49697885196375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 4, 84.16172106824926%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 5, 83.70206489675516%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 6, 84.72222222222221%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 7, 84.1304347826087%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 8, 84.33048433048434%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 9, 84.95762711864407%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 10, 84.32262569832403%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 11, 85.43956043956044%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 12, 84.42622950819673%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 13, 85.4391891891892%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 14, 86.32707774798928%
Classifier: J48 options: -C 0.25 -M 2 Window size: 128 Overlap: 15, 84.63815789473685%
